commentaire,commentaire_nettoye,commentaire_spacy,lemmes,tokens_utiles,sentiment,probleme
"Plantez et vous récolterez.,",Plantez et vous récolterez.,Plantez et vous récolterez.,plantez récolter,plantez récolterez,positif,
"Bravo et merci à tous les employés d’Algérie Télécom.,",Bravo et merci à tous les employés d’Algérie Télécom.,Bravo et merci à tous les employés d’Algérie Télécom.,bravo employé algérie télécom,bravo employés algérie télécom,positif,
"Votre entreprise ne pense plus qu’aux abonnés Fibre !!!,",Votre entreprise ne pense plus qu’aux abonnés Fibre !!!,Votre entreprise ne pense plus qu’aux abonnés Fibre !!!,entreprise abonné fibre,entreprise abonnés fibre,positif,
"Ce qui nous réjouit, c’est le passage de Idoom ADSL à Idoom Fibre.,","Ce qui nous réjouit, c’est le passage de Idoom ADSL à Idoom Fibre.","Ce qui nous réjouit, c’est le passage de Idoom ADSL à Idoom Fibre.",réjouir passage idoom adsl idoom fibre,réjouit passage idoom adsl idoom fibre,positif,
"On demande juste à être raccordés à la nouvelle technologie de fibre optique, ça fait trop longtemps qu’on attend.,","On demande juste à être raccordés à la nouvelle technologie de fibre optique, ça fait trop longtemps qu’on attend.","On demande juste à être raccordés à la nouvelle technologie de fibre optique, ça fait trop longtemps qu’on attend.",demande raccorder nouveau technologie fibre optique trop attendre,demande raccordés nouvelle technologie fibre optique trop attend,négatif,problème réseau
"J’allais acheter un modem 4G mais vous m’avez bloqué, j’attends toujours.,","J’allais acheter un modem 4G mais vous m’avez bloqué, j’attends toujours.","J’allais acheter un modem 4G mais vous m’avez bloqué, j’attends toujours.",allai acheter modem 4 gramme avoir bloquer attend,allais acheter modem 4 g avez bloqué attends,négatif,problème réseau
"Comme chaque année, un bonus qui est évident.,","Comme chaque année, un bonus qui est évident.","Comme chaque année, un bonus qui est évident.",année bonus évident,année bonus évident,positif,
"Vous nous avez rendus curieux !,",Vous nous avez rendus curieux !,Vous nous avez rendus curieux !,avoir rendu curieux,avez rendus curieux,positif,
"C’est peut-être la vitesse du débit 4G ?,",C’est peut-être la vitesse du débit 4G ?,C’est peut-être la vitesse du débit 4G ?,peut-être vitesse débit 4 gramme,peut-être vitesse débit 4 g,positif,
"Ramenez-nous juste la fibre, je suis prêt à payer 500.000 DA, pas seulement 500 DA.,","Ramenez-nous juste la fibre, je suis prêt à payer 500.000 DA, pas seulement 500 DA.","Ramenez-nous juste la fibre, je suis prêt à payer 500.000 DA, pas seulement 500 DA.",ramener nous fibre prêt payer 500.000 500,ramenez -nous fibre prêt payer 500.000 500,positif,
