commentaire,sentiment,probleme
"Plantez et vous récolterez.,",positif,N/A
"Bravo et merci à tous les employés d’Algérie Télécom.,",positif,N/A
"Votre entreprise ne pense plus qu’aux abonnés Fibre !!!,",positif,N/A
"Ce qui nous réjouit, c’est le passage de Idoom ADSL à Idoom Fibre.,",positif,N/A
"On demande juste à être raccordés à la nouvelle technologie de fibre optique, ça fait trop longtemps qu’on attend.,",négatif,problème réseau
"J’allais acheter un modem 4G mais vous m’avez bloqué, j’attends toujours.,",négatif,problème réseau
"Comme chaque année, un bonus qui est évident.,",positif,N/A
"Vous nous avez rendus curieux !,",positif,N/A
"C’est peut-être la vitesse du débit 4G ?,",positif,N/A
"Ramenez-nous juste la fibre, je suis prêt à payer 500.000 DA, pas seulement 500 DA.,",positif,N/A
"Dans le village où je vis, il n’y a même pas d’internet. Ni câble cuivre ni fibre, à 5 km de la ville.,",neutre,N/A
"Quel est l’intérêt de proposer cette offre alors que la fibre ne nous est même pas accessible ?,",négatif,problème réseau
"Les zones d’ombre pleurent en silence.,",neutre,N/A
"Ça fait deux mois que j’ai fait une demande, mes voisins ont été raccordés mais pas moi.,",négatif,problème réseau
"Notre quartier a été raccordé à la fibre depuis longtemps mais le service n’a toujours pas été lancé ! Pourquoi ? Une explication SVP.,",négatif,problème réseau
"J’ai terminé le mois gratuit et je veux payer le mois suivant mais je ne sais pas comment faire. Aide SVP.,",négatif,facturation
"Même au centre-ville de Biskra, il n’y a pas de fibre optique !,",négatif,problème réseau
"On attend encore une autre année pour avoir un modem.,",négatif,problème réseau
"Il faut permettre le paiement via les applications même sans connexion internet. Quand l’internet est coupé, comment on peut payer ? Réglez ça SVP.,",positif,N/A
"Vive l’USMK, vive Algérie Télécom.,",positif,N/A
"Merci à vous.,",positif,N/A
"J’aimerais que le paiement internet soit aussi simple que pour la ligne téléphonique. Pour l’internet, on dirait que je dois faire une recharge manuelle.,",positif,N/A
"J’utilise le paiement électronique depuis longtemps et je n’ai jamais bénéficié du bonus dont vous parlez.,",neutre,N/A
"Pourquoi vous me retirez toujours un jour du mois ? J’ai payé le 4 décembre 2024 et ça se termine le 1er janvier 2025. Il manque un jour !,",négatif,facturation
"Pourquoi ne pas ajouter le paiement des factures d’électricité via BaridiMob avec code-barres ? Ce serait plus simple.,",positif,N/A
"Le paiement avec carte Edahabia ne fonctionne plus depuis longtemps, le message 'échec de l’opération' apparaît.,",négatif,facturation
"Quand vous nous raccorderez à la fibre, on sera les premiers à souscrire.,",positif,N/A
"Amenez-nous la fibre d’abord, ensuite on discutera.,",positif,N/A
"J’ai payé internet la semaine dernière, il reste encore du temps mais c’est déjà coupé. Pourquoi ?,",négatif,problème réseau
"Dans notre village (zone d’ombre), pas de fibre du tout.,",neutre,N/A
"Remplacez les câbles cuivre par la fibre et ensuite ce sera facile de s’abonner.,",positif,N/A
"Donnez-nous d’abord la fibre avant de nous parler de vos offres.,",positif,N/A
"On entend parler de la fibre mais on ne voit rien du tout.,",neutre,N/A
"Faites juste l’installation et je vous paierai un million !,",positif,N/A
"Et après l’offre promotionnelle, combien doit-on payer par mois ?,",positif,N/A
"Merci, mais on aimerait des offres pour les catégories vulnérables.,",positif,N/A
"Quand est-ce que le quartier Mohamed Aïa à Laghouat sera raccordé à la fibre ?,",négatif,problème réseau
"Pourquoi ne pas faire des offres pour les personnes en difficulté ?,",positif,N/A
"Mon frère a un problème avec les techniciens à Es Senia. Ils ont donné sa ligne à quelqu’un d’autre et refusent de réparer.,",négatif,problème réseau
"J’ai un petit problème pour me connecter à l’espace client. Il me demande toujours de vérifier mon e-mail.,",négatif,problème réseau
"Rue Krim Belkacem, bâtiment 89, quand aurons-nous la fibre optique ? Merci.,",positif,N/A
"Pas d’offres spéciales pour cette catégorie ?,",neutre,N/A
"Difficulté à créer un compte My Idoom. Le code envoyé est toujours erroné. J’essaie depuis plus d’une heure, sans solution.,",négatif,problème réseau
"Ils ont enlevé l’ADSL, pas de fibre. On est sans rien. Qu’Allah vous punisse.,",négatif,problème réseau
"Suite à une remarque, Algérie Télécom a commencé les travaux pour installer un boîtier Idoom Fibre. Merci pour l’effort.,",positif,N/A
"Nous attendons toujours l’installation d’internet dans notre quartier à F'Sdis.,",positif,N/A
"Toujours le même message : votre ligne n’est pas éligible. Pourquoi coupez-vous l’ADSL ?,",négatif,problème réseau
"J’ai essayé mille fois. Donnez-nous une solution pour l’éligibilité.,",positif,N/A
"J’ai l’ADSL et je paie, mais le débit est très faible, parfois 3 Mbps.,",négatif,problème réseau
"Service catastrophique. Cela fait 4 mois avec des pannes, rien ne bouge.,",négatif,problème réseau
"Deux gouttes et ça coupe, que ce soit l’électricité ou la connexion.,",négatif,problème réseau
"Deux ans à tester, rien ne change. Vous vous moquez de nous.,",neutre,N/A
"Bonjour. Je subis toujours des coupures avec un faible débit. Le service à Skikda m’a dit : 'toute l’Algérie souffre, on ne peut rien faire'.,",négatif,problème réseau
"Aucun Algérien ne choisit de rester à l’ancienne technologie. Donnez-nous la fibre d’abord, ensuite proposez des offres.,",neutre,N/A
"Quel est l’intérêt de cette offre s’il n’y a pas de fibre ?,",négatif,problème réseau
"L’agence de Souk Ahras est la pire. Donnez-nous le modem et installez-le pour ne plus qu’on revienne.,",négatif,problème réseau
"L’application Idoom ne fonctionne pas.,",négatif,problème réseau
"Ceux qui n’ont pas la fibre n’ont pas droit à cette offre ? Ce n’est pas juste.,",négatif,problème réseau
"Est-ce possible que le centre de Annaba n’ait toujours pas la fibre ?,",négatif,problème réseau
"Frère, débloquez la situation. C’est trop lourd pour nos enfants qui étudient.,",négatif,réactivité
"Vous nous avez donné envie avec la fibre. Mais on reste avec l’ADSL, aucune nouvelle pour la fibre.,",neutre,N/A
"Très gros problème de lenteur à Aïn Hamad (Beïnan). Merci de résoudre ce problème.,",positif,N/A
"Même offre qu’avant, où est la nouveauté ?,",neutre,N/A
"Investissez plutôt dans l’amélioration du réseau. Les abonnés 4G souffrent.,",négatif,problème réseau
"À Annaba, la connexion est totalement absente. Les réclamations n’ont rien donné.,",neutre,N/A
"Débit très lent, même quand il me reste plus de la moitié du forfait.,",négatif,problème réseau
"Bonjour. J’ai un modem B311 Orange. Puis-je y mettre une puce Algérie Télécom ? Merci.,",positif,N/A
"1.3 kbps c’est bon, mais seulement si internet marchait vraiment.,",positif,N/A
"Même problème de lenteur à Aïn Hamad, Beïnan (Mila). Merci de résoudre ça.,",négatif,problème réseau
"J’ai fait plusieurs réclamations pour le débit, aucun résultat. Explication SVP.,",négatif,problème réseau
"Je dis bravo aux bons et honte aux mauvais. Merci à l’équipe technique de Skikda pour leur intervention professionnelle.,",positif,N/A
"Bravo.,",positif,N/A
"5 mois de coupures fréquentes. Rien n’a été fait. Et même après 2 semaines d’abonnement fibre, pas d’installation.,",neutre,N/A
"Bonjour. Impossible de se connecter à l’Espace Client ni via MyIdoom ni via PC.,",neutre,N/A
"On pleure pour l’ADSL, et maintenant avec la fibre c’est encore pire : pannes tous les deux jours. On aurait mieux fait de rester à l’ADSL.,",négatif,problème réseau
"Nous, comité du quartier AADL à El-Matmar, avons envoyé une plainte à Algérie Télécom Relizane pour coupure internet, sans résultat. Les habitants veulent résilier leur contrat.,",négatif,problème réseau
"Depuis le 17 septembre, j’attends l’installation de la fibre.,",positif,N/A
"Je suis client. Je voulais recharger internet via le site d’Algérie Télécom mais l’interface ne s’affiche pas. Répondez-moi SVP.,",négatif,problème réseau
"Algérie Télécom : il y a un bug sur votre site espace client. Merci de répondre.,",négatif,problème réseau
"Je pense que 80% des Algériens n’ont pas encore bénéficié de la fibre. Même à Béjaïa, mes amis n’en ont pas.,",négatif,problème réseau
Bon vendredi à tous les employés d’Algérie Télécom.,positif,N/A
"J’ai un modem Idoom, je veux le changer pour un comme celui-ci, que dois-je faire ?,",positif,N/A
"Cela fait 6 mois qu’on attend son activation, et vous ne faites que proposer de nouvelles offres… comprenez-vous au moins ce que vous faites ?,",négatif,autre
"Quelles sont les démarches nécessaires pour bénéficier de cette offre ?,",positif,N/A
"Quand l’offre promotionnelle se termine, est-ce que l’abonné peut choisir une autre offre ou est-il obligé de payer l’abonnement de 500 Mo ? Merci de répondre précisément.,",positif,N/A
"On n’a pas entendu parler de l’offre car nous n’avons pas la fibre.,",neutre,N/A
"Nous avons toujours le cuivre, mon ami. On est vieux jeu. Installez-nous la fibre, après ce sera plus simple.,",positif,N/A
"J’ai un abonnement 120 Mbps, mais en réalité j’ai à peine 25 Mbps.,",négatif,problème réseau
"Qu’est-ce que c’est que ça ? Avec notre argent, vous nous méprisez. Travaillez pour nous ! Idoom 4G, testez notre vitesse aussi. La fibre est installée dans certains quartiers depuis 2022, mais toujours pas activée ailleurs. Le câble est là, tout est prêt. Pourquoi nous faites-vous ça ? Vous voulez qu’on vous poursuive en justice ? Il y a 48 millions d’Algériens, deux jours de plaintes et vous verrez !,",négatif,problème réseau
"Je veux comprendre, j’ai 10 mégas mais je reçois seulement 5 mégas. Où sont passées les autres 5 mégas ? C’est trop lent.,",négatif,facturation
"Votre application Idoom Fibre ne fonctionne pas, il y a un bug.,",négatif,problème réseau
"Installez-nous la fibre, ensuite ce sera facile.,",positif,N/A
"Est-il logique qu’après 12 jours (le 27/11/2024) de l’installation à domicile, l’internet ne soit toujours pas activé, alors que le téléphone fonctionne ?,",négatif,problème réseau
"Où est la fibre ? Ça prend trop de temps.,",négatif,problème réseau
"Avant cette offre, est-ce que le centre-ville de Touggourt a été raccordé ?,",positif,N/A
"Combien de temps faut-il pour installer une ligne fixe ?,",négatif,problème réseau
"Je suis prêt à passer à la fibre, mais on m’a dit que ma ligne ne supporte que 20 Mbps alors que je suis en plein centre-ville, près de l’université centrale de Biskra.,",négatif,problème réseau
"Le débit avec la fibre est incroyable. Que Dieu vous donne la santé. J’espère que ce sera généralisé dans tout le pays.,",positif,N/A
"Comment s’intéresser aux offres si la plupart des régions du pays ne sont pas éligibles à la fibre ?,",négatif,problème réseau
"L’espace client est bloqué depuis une semaine.,",négatif,problème réseau
"Fournissez-nous la fibre, ensuite on s’occupe du reste.,",positif,N/A
"J’ai payé depuis 11 jours et ils ne sont toujours pas venus nous l’installer.,",neutre,N/A
"J’ai un modem 4G et les câbles internet sont à 250 mètres de chez moi. Est-ce que je peux passer à Idoom Fibre ?,",positif,N/A
"Donc certains profitent, et les autres non ? Installez-nous la fibre, vivons tous ou mourons tous.,",négatif,problème réseau
"La fibre est proche de chez nous, mais on est toujours en ADSL. C’est très lent.,",négatif,problème réseau
"Merci de répondre : j’ai un modem fibre qui est tombé et cassé, quelles sont les démarches ? Faut-il en acheter un nouveau ?,",positif,N/A
