"Name,Comment"
",""من 3 اشهر ل 12 شهر نفس الرصيد"
مالا نسلكو بالثلاث اشهر احسن
"بالمختصر كي تخلص بالشهر يعطوك 3 ايام هدية و كي تخلص بالثلاث اشهر الى 12 شهر يعطوك عن كل شهر 4 ايام هدية"""
",يسمى تشارجي عام باه تتحصل على 48 يوم"
",رجعولنا حقنا بزاف رانا من سبتمبر 2024 سرقولنا الكابل الانترنت و رغم الشكاوي كامل الحي ليومنا ما درتوا والوا ماهمكمش الامر و تناسيتم اننا مشتركين"
",راحتلي بيس تاع 4 جي lte اسكو نقدر نريكيبيريها من عنكم ولا لازم نشري وحدة جديدة"
",تطبيق my idoom لا يعمل خاصة عند الدخول لفضاء الزبون"
",من نهار درتو خدمة الدفع الالكتروني و أنا نعبئ بيها ، ولا مرة جاني بونيس"
",حياتي كامل وانا نشارجي ولا مرة شفت هذ البونوس تاعكم"
",أصلا انا خلصتها امس صباحا...لحد الساعة ماكاش انترنت......يعني ايام الاستفادة .. كيفاش نتحصل عليهم وانا مطلقتوليش الانترنت!!!! أين الخلل..."
",وماذا عن 4glte؟؟؟"
",انا دائما نشارجي بباريدي موب عمرهم اذا زادولي ساعة"
",Happy New Year & Happy weekend Algeria Telecom!!"
",هل يمكن توصيله بجانب ثانوية بعمر بوجمعة حي كرمان تيارت"
",باقي نسقسيكم راني عام و8شهر ماخلص كونسيو شحال جيني دراهم من فضلكم"
",بصح الانترنت راهي حابسة"
",انا كاري عند واحد و عندو مودام فيبر و لاكونيكسيو تلحقنيش هو ساكن فوقي اسكو نقدر نستفاد من هدا العرض يعني ندير مودام تاعي وحدي"
",salam l'equipe Algerie telecom j'ai fait l'offre de 1.2 gb j'ai fait la demande ya bien 2 semaine elle a été validé Combien de jours dois-je attendre avant installation ? je suis de kouba"
",جمعة مباركة طيبة عليكم"
",كي توفروا التغطية والربط للناس ديروا عروض تاعكم"
",في تيبازة شبكة الألياف البصرية غير متوفرة"
",وحنا جماعة adsl كاش ما عندنا عرض على الأقل ديرولنا عرض تخفيض الأسعار مدام لفيبر معندناش ولا راكم تشيخو في جماعة لفيبر"
",لماذا لا نستفيد نحن سكان ايلو 5 عدل 1500 سكن سوق اهراس عندنا اكثر من عام ساكنين ؟"
",On Attend le basculement Vers la fibre optique et l'installation à l'intérieur des maisons ????"
",السرعة كارثة الأن 4G"
",السلام عليكم بغي نفتح فضاء الزبون ومحبش يفتح في 4Gألتيو خطرش بغي نعرف مدة التعبئة كم يوم"
",ولي ماعندوش الفيبر يكمل بسلك النحاس"
",بدينها ب 4 ايام بدون انترنيت"
",19 ديسمبر جاو ركبولي المودام لحد اليوم مزال مفعلوهش"
",في نص ولاية جيجل و مزال ماكانش الفايبر والله كرهنا"
",بالتوفيق لجميع عمال وموظفي اتصالات الجزائر"
",وقتاش ديرونا الفيبر في وسط مدينه خنشله العمارات في وسط المدينه ما كانش"
",كيف نسفادو من عرض"
",هذا العرض واش من ولاية لانو عندي 9 أشهر وأنا دافع ملف فيبر وخلصت حق الاشتراك وعطاوني رقم الاشتراك ومزال ما ركبوليش في ولاية الاغواط"
",عندي شهر ملي قدمت طلب مكان والو والحاجة كي طول تسماط جاري سحب الطلب"
",فضاء الزبون لا يعمل، حاولت جاهدا التسجيل فيه لا يعمل، تملأ المعلومات و بعدها لا يمكن الوصول الى الموقع."
",عندي vdsl وين نشترك في فيبر ولاية البليدة نسبة كبيرة معندناش فيبر سرعو شوي"
",بالتوفيق في هاذا العام لكل الزملاء والزميلات"
",أنترنت راه ناقصة بزاف"
",ايدوم ماهيش تتمشى منذ ايام ماهو المشكل؟؟"
",زيدو ديرونا أسعار جديدة مثلا 120ميغا تولي 2000دج فقط خلي الناس الكل تولي تستفاد من تدفق عالي صح"
",ديرو كوراج، صحاب 10 طلعوهم 15"
",الالياف البصرية"
",""بصراحة القفزة النوعية التي حدثت في 4 سنوات الاخيرة في سرعة انترنت (شبكة الياف بصرية ) مذهلة حقا"
"بكري كنا بل 10 ميڨا و دوكا رانا في 1.2 جيڨا"""
",الآالانترنيت فايبر جد ضعيفة و تقطعات كثيرة"
",ياريت لو تابعو بسكرة من ناحية تغطية الألياف البصرية العملية راهي حابسة خلاص مكاين حتى تقدم"
",اليوم بدون مقدمات ولا اعلانات جاو للكارتي تاعنا بعد صلاة الجمعة دارو خيمة ويماركو الناس لي حبو يدخلو الفيبر.وبعد نص ساعة راحو والنتيجة اغلبية السكان واحد ما سجل !!! لانو واحد ماعلابالو."
",من فضلك كيف نغير فضاء الزبون من حساب ADSL إلى حساب FTTH وشكرا"
",هل تطبيق my idoom يعمل ؟؟...قمت بفتحه اعطني صفحة فيها أن الانترنت غير متصلة و الانترنت عندي تعمل ..."
",تقطع كابل في حومة مدينا تقرير مابغاوش يجو يخدمو رانا في عامين ومن رحت بعد ما توفر فيبر وخدمو ه من رحت ندير طلب يجو قالولي وحدنا نجو بلا ما تشقي لحد الوقت واحد ما رقب علينا للاسف شديد"
",أرواح لولاية البرج 34 والله ما حبو يخدمونا ولا يوصلونا الفيبر للاقامة يا عجابة إقامة جديدة ومستلمينها في عامين وين ما نروحولهم يديرونا سبة جديدة كل عام يقولك مزال ماكمش فالبرنامج ستناو والله كرهونا"
",انا واحد من الناس لي عاود بالفيبر في خمسة ايام مكانش تنترنت"
",اسبوع و الانترنيت معطلة مزال مخدموهاش بحجة الكابل مكاش و كي تعيط تشكي ميرفدوش"
",كيفاش نقدر نبدل البريد الالكتروني باه نقدر ندخل تطبيق ايدوم"
